Date: Thu Nov 16 2017 12:25:50 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Database connection successfully
Date: Thu Nov 16 2017 12:25:50 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Users removed
Date: Thu Nov 16 2017 12:25:50 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: News removed
Date: Thu Nov 16 2017 12:25:50 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product removed
Date: Thu Nov 16 2017 12:25:50 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: User saved
Date: Thu Nov 16 2017 12:25:50 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: User saved
Date: Thu Nov 16 2017 12:25:50 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: User saved
Date: Thu Nov 16 2017 12:25:50 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: CreditCard saved
Date: Thu Nov 16 2017 12:25:50 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: DeliveryAddress saved
Date: Thu Nov 16 2017 12:25:50 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: User saved
Date: Thu Nov 16 2017 12:25:50 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Thu Nov 16 2017 12:25:50 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Thu Nov 16 2017 12:25:50 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Thu Nov 16 2017 12:25:50 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Thu Nov 16 2017 12:25:50 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Thu Nov 16 2017 12:25:50 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Thu Nov 16 2017 12:25:50 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Thu Nov 16 2017 12:26:34 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Database connection successfully
Date: Thu Nov 16 2017 12:26:34 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Account removed
Date: Thu Nov 16 2017 12:26:34 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: News removed
Date: Thu Nov 16 2017 12:26:34 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product removed
Date: Thu Nov 16 2017 12:26:34 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Account saved
Date: Thu Nov 16 2017 12:26:34 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: DeliveryAddress saved
Date: Thu Nov 16 2017 12:26:34 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: CreditCard saved
Date: Thu Nov 16 2017 12:26:34 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Account saved
Date: Thu Nov 16 2017 12:26:34 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: DeliveryAddress saved
Date: Thu Nov 16 2017 12:26:34 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Thu Nov 16 2017 12:26:34 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: CreditCard saved
Date: Thu Nov 16 2017 12:26:34 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Thu Nov 16 2017 12:26:34 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Thu Nov 16 2017 12:26:34 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Thu Nov 16 2017 12:26:34 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Thu Nov 16 2017 12:26:34 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Thu Nov 16 2017 12:26:34 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Product saved
Date: Wed Nov 22 2017 08:42:22 GMT+0100 (Mitteleuropäische Zeit)	 Type: Info	 Message: Database connection successfully
